"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mark Trumbo","- - -","142","545","22","62","64","0","6.6 %","24.2 %",".187",".313",".262",".310",".449",".327","108","-2.4","2.4","-9.7","1.1","6876"
"Jace Peterson","Braves","152","597","6","55","52","12","9.4 %","20.1 %",".097",".296",".239",".314",".335",".287","80","1.3","-12.7","4.2","1.1","12325"
"Marlon Byrd","- - -","135","544","23","58","73","2","5.3 %","26.7 %",".206",".297",".247",".290",".453",".317","100","0.6","0.3","-7.8","1.0","950"
"Cameron Maybin","Braves","141","555","10","65","59","23","8.1 %","18.4 %",".103",".316",".267",".327",".370",".307","94","1.5","-2.6","-5.3","1.0","5223"
"Michael Taylor","Nationals","138","511","14","49","63","16","6.8 %","30.9 %",".129",".311",".229",".282",".358",".274","69","-0.5","-18.8","12.3","1.0","11489"
"Erick Aybar","Angels","156","638","3","74","44","15","3.9 %","11.4 %",".069",".300",".270",".301",".338",".280","80","3.4","-11.7","-0.4","1.0","4082"
"Starlin Castro","Cubs","151","578","11","52","69","5","3.6 %","15.7 %",".110",".298",".265",".296",".375",".288","80","-2.1","-15.9","5.4","0.8","4579"
"Aramis Ramirez","- - -","137","516","17","43","75","1","6.0 %","13.2 %",".177",".253",".246",".297",".423",".309","93","-7.3","-11.5","2.7","0.8","1002"
"Brett Lawrie","Athletics","149","602","16","64","60","5","4.7 %","23.9 %",".148",".320",".260",".299",".407",".306","94","2.4","-1.5","-12.2","0.6","5247"
"Brandon Moss","- - -","145","526","19","47","58","0","9.3 %","28.1 %",".181",".285",".226",".304",".407",".308","94","-0.4","-3.9","-7.8","0.6","4467"
"Jose Reyes","- - -","116","519","7","57","53","24","5.0 %","11.9 %",".104",".301",".274",".310",".378",".300","80","1.5","-10.3","-1.5","0.5","1736"
"Torii Hunter","Twins","139","567","22","67","81","2","6.2 %","18.5 %",".169",".258",".240",".293",".409",".304","90","-0.9","-7.5","-6.5","0.5","731"
"Matt Kemp","Padres","154","648","23","80","100","12","6.0 %","22.7 %",".178",".311",".265",".312",".443",".325","109","0.9","8.1","-24.1","0.4","5631"
"Gerardo Parra","- - -","155","589","14","83","51","14","4.8 %","15.6 %",".161",".325",".291",".328",".452",".334","108","2.0","7.4","-22.1","0.4","8553"
"Wilson Ramos","Nationals","128","504","15","41","68","0","4.2 %","20.0 %",".128",".256",".229",".258",".358",".265","63","-1.6","-23.5","11.1","0.4","1433"
"Anthony Gose","Tigers","140","535","5","73","26","23","8.4 %","27.1 %",".113",".352",".254",".321",".367",".304","90","0.6","-5.8","-8.5","0.4","5097"
"Joe Mauer","Twins","158","666","10","69","66","2","10.1 %","16.8 %",".115",".309",".265",".338",".380",".311","94","-3.3","-7.6","-11.7","0.3","1857"
"Jean Segura","Brewers","142","584","6","57","50","25","2.2 %","15.9 %",".079",".298",".257",".281",".336",".268","62","3.1","-22.6","6.7","0.3","5933"
"Jimmy Rollins","Dodgers","144","563","13","71","41","12","7.8 %","15.3 %",".133",".246",".224",".285",".358",".283","80","-2.0","-15.2","-0.3","0.2","971"
"Jay Bruce","Reds","157","649","26","72","87","9","8.9 %","22.3 %",".209",".251",".226",".294",".434",".309","91","-1.8","-8.3","-11.2","0.1","9892"
"Evan Gattis","Astros","153","604","27","66","88","0","5.0 %","19.7 %",".217",".264",".246",".285",".463",".317","99","-3.3","-3.8","-16.0","0.0","11003"
"Nick Castellanos","Tigers","154","595","15","42","73","0","6.6 %","25.5 %",".164",".322",".255",".303",".419",".311","94","-7.3","-11.3","-9.0","-0.1","11737"
"Logan Morrison","Mariners","146","511","17","47","54","8","9.2 %","15.9 %",".158",".238",".225",".302",".383",".298","90","-0.9","-6.7","-11.9","-0.2","9205"
"Melky Cabrera","White Sox","158","683","12","70","77","3","5.9 %","12.9 %",".121",".297",".273",".314",".394",".307","91","-3.3","-10.4","-15.0","-0.3","4022"
"Ryan Howard","Phillies","129","503","23","53","77","0","5.4 %","27.4 %",".214",".272",".229",".277",".443",".308","92","-1.4","-5.8","-13.9","-0.4","2154"
"Alexei Ramirez","White Sox","154","622","10","54","62","17","5.0 %","10.9 %",".108",".264",".249",".285",".357",".279","72","-5.0","-25.3","0.4","-0.5","5133"
"Angel Pagan","Giants","133","551","3","55","37","12","5.8 %","16.9 %",".070",".310",".262",".303",".332",".280","81","2.4","-9.7","-12.5","-0.5","2918"
"Billy Butler","Athletics","151","601","15","63","65","0","8.7 %","16.8 %",".139",".282",".251",".323",".390",".311","99","-11.1","-12.1","-14.3","-0.7","7399"
"Avisail Garcia","White Sox","148","601","13","66","59","7","6.0 %","23.5 %",".108",".320",".257",".309",".365",".295","83","-4.5","-16.1","-13.8","-1.1","5760"
"Chris Owings","Diamondbacks","147","552","4","59","43","16","4.7 %","26.1 %",".095",".305",".227",".264",".322",".255","52","4.8","-25.8","-4.6","-1.4","10030"
"Pablo Sandoval","Red Sox","126","505","10","43","47","0","5.0 %","14.5 %",".121",".270",".245",".292",".366",".288","75","-5.3","-20.0","-15.1","-2.0","5409"
